age_from,age_to,Gender,From: Recommended Vegetable Intake,vegetables_recommended_low,To: Recommended Vegetable Intake,vegetables_recommended_high,Actual Vegetable Intake,vegetables_ratio,From: Recommended Protein Intake,protein_recommended_low,To: Recommended Protein Intake,protein_recommended_high,Actual Protein Intake,protein_ratio,From: Recommended Grain Intake,grains_recommended_low,To: Recommended Grain Intake,grains_recommended_high,Actual Grain Intake,grain_ratio,From: Recommended Dairy Intake,dairy_recommended_low,To: Recommended Dairy Intake,dairy_recommended_high,Actual Dairy Intake,dairy_ratio,From: Recommended Fruit category intakes,fruits_recommended_low,To: Recommended Fruit category intakes,fruits_recommended_high,Actual Fruit intakes,fruits_ratio,sugars_recommended_low,sugars_recommended_high,Actual Added Sugars Taken,sugars_ratio,Actual Taken Sugars sweets and beverages amount,oils_recommended_low,oils_recommended_high,Avg Fats oils and salad dressings taken,oils_ratio,% Population got CKD,People (or %) progressed to Stage 3 CKD,People (or %) progressed to Stage 4 CKD,People (or %) progressed to ESRD,Received dietitian care (Optional),Did not Receive dietitian care (Optional),Patients went for dialysis,Patients went for Kidney Transplantation,ESRD patients: Avg. Annual Mortality rates,Dialysis patients: Avg. Annual Mortality rates,ESRD patients: Total (or %) deaths for target year,Dialysis patients: Total (or %) deaths for target year
0,4,Neutral,168.75,150,210,225,105,0.466666667,270,300,517.5,600,405,0.675,390,450,630,750,585,0.78,255,300,315,375,367.5,0.98,120,150,187.5,225,225,1,22.5,27.5,32.5,1.181818182,430.64,15,16.5,10.5,0.636363636,,,,,,,,,4.39,6.665,32,27.5
5,9,Neutral,290.625,225,390,375,120,0.32,495,450,817.5,787.5,540,0.685714286,630,600,960,900,877.5,0.975,387,375,453,450,322.5,0.716666667,165,150,270,262.5,180,0.685714286,27,33,39,1.181818182,759.43,16.5,25.5,15,0.588235294,,,,,,,,,0.925,4.065,12.5,8
10,13,Neutral,350,262.5,450,450,157.5,0.35,675,675,937.5,937.5,682.5,0.728,750,750,1200,1200,1035,0.8625,435,435,465,465,330,0.709677419,225,225,300,300,165,0.55,36,44,52,1.181818182,941.4,19.5,31.5,18,0.571428571,,,,,,,,,0.505,1.115,8,3.5
14,17,Neutral,500,375,525,525,180,0.342857143,787.5,787.5,1012.5,1012.5,765,0.755555556,900,900,1350,1350,1072.5,0.794444444,435,435,465,465,307.5,0.661290323,262.5,262.5,337.5,337.5,135,0.4,45,55,65,1.181818182,1277.58,25.5,40.5,21,0.518518519,,,,,,,,,0.565,1.215,11.5,6
18,21,Neutral,537.5,375,525,525,180,0.342857143,843.75,787.5,1012.5,1012.5,765,0.755555556,1012,900,1350,1350,1072.5,0.794444444,435,435,465,465,307.5,0.661290323,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,1699.97,25.5,40.5,21,0.518518519,,,,,,,,,1.45,3.13,57,41.5
22,24,Neutral,618.75,412.5,525,525,232.5,0.442857143,862.5,862.5,1012.5,1012.5,922.5,0.911111111,1050,1050,1350,1350,1050,0.777777778,435,435,465,465,255,0.548387097,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,2059.32,27,37.5,21,0.56,,,,,,,,,1.995,3.455,95,81
25,29,Neutral,515.625,412.5,525,525,232.5,0.442857143,862.5,862.5,1012.5,1012.5,922.5,0.911111111,1050,1050,1350,1350,1050,0.777777778,435,435,465,465,255,0.548387097,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,2256.61,27,37.5,21,0.56,,,,,,,,,2.845,4.68,354,311
30,34,Neutral,515.625,412.5,525,525,232.5,0.442857143,832.5,862.5,982.5,1012.5,922.5,0.911111111,990,1050,1290,1350,1050,0.777777778,435,435,465,465,255,0.548387097,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,2224.94,27,37.5,21,0.56,,,,,,,,,3.59,5.705,703,620
35,39,Neutral,515.625,412.5,525,525,262.5,0.5,825,825,975,975,990,1.015384615,975,975,1275,1275,997.5,0.782352941,435,435,465,465,240,0.516129032,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,2373.05,27,36,22.5,0.625,,,,,,,,,4.14,6.46,1120.5,1001.5
40,44,Neutral,515.625,412.5,525,525,262.5,0.5,825,825,975,975,990,1.015384615,975,975,1275,1275,997.5,0.782352941,435,435,465,465,240,0.516129032,262.5,262.5,337.5,337.5,135,0.4,54,66,78,1.181818182,2181.72,27,36,22.5,0.625,,,,,,,,,4.515,6.815,1824.5,1611
45,49,Neutral,515.625,412.5,525,525,262.5,0.5,825,825,975,975,990,1.015384615,975,975,1275,1275,997.5,0.782352941,435,435,465,465,240,0.516129032,262.5,262.5,337.5,337.5,135,0.4,49.5,60.5,71.5,1.181818182,2240.91,27,36,22.5,0.625,,,,,,,,,5.98,8.735,3301.5,2893
50,54,Neutral,440.625,412.5,495,525,262.5,0.5,795,825,975,975,990,1.015384615,855,975,1275,1275,997.5,0.782352941,435,435,465,465,240,0.516129032,262.5,262.5,337.5,337.5,135,0.4,49.5,60.5,71.5,1.181818182,2272.33,27,36,22.5,0.625,,,,,,,,,7.54,10.6,5466,4798.5
55,59,Neutral,421.875,337.5,487.5,487.5,277.5,0.569230769,787.5,787.5,975,975,930,0.953846154,825,825,1275,1275,900,0.705882353,435,435,465,465,232.5,0.5,262.5,262.5,337.5,337.5,180,0.533333333,49.5,60.5,71.5,1.181818182,2333.27,24,33,22.5,0.681818182,,,,,,,,,9.675,12.955,8585.5,7515
60,64,Neutral,421.875,337.5,487.5,487.5,277.5,0.569230769,787.5,787.5,975,975,930,0.953846154,825,825,1275,1275,900,0.705882353,435,435,465,465,232.5,0.5,262.5,262.5,337.5,337.5,180,0.533333333,49.5,60.5,71.5,1.181818182,2023.13,24,33,22.5,0.681818182,,,,,,,,,12.035,15.55,11710.5,10175
