age_from,age_to,Gender,From: Recommended Vegetable Intake,vegetables_recommended_low,To: Recommended Vegetable Intake,vegetables_recommended_high,Actual Vegetable Intake,From: Recommended Protein Intake,protein_recommended_low,To: Recommended Protein Intake,protein_recommended_high,Actual Protein Intake,From: Recommended Grain Intake,grains_recommended_low,To: Recommended Grain Intake,grains_recommended_high,Actual Grain Intake,From: Recommended Dairy Intake,dairy_recommended_low,To: Recommended Dairy Intake,dairy_recommended_high,Actual Dairy Intake,From: Recommended Fruit category intakes,fruits_recommended_low,To: Recommended Fruit category intakes,fruits_recommended_high,Actual Fruit intakes,sugars_recommended_low,sugars_recommended_high,Actual Added Sugars Taken,Actual Taken Sugars sweets and beverages amount,oils_recommended_low,oils_recommended_high,Avg Fats oils and salad dressings taken,% Population got CKD,People (or %) progressed to Stage 3 CKD,People (or %) progressed to Stage 4 CKD,People (or %) progressed to ESRD,Received dietitian care (Optional),Did not Receive dietitian care (Optional),Patients went for dialysis,Patients went for Kidney Transplantation,ESRD patients: Avg. Annual Mortality rates,Dialysis patients: Avg. Annual Mortality rates,ESRD patients: Total (or %) deaths for target year,Dialysis patients: Total (or %) deaths for target year
0,4,Neutral,168.75,150,210,225,105,270,300,517.5,600,405,390,450,630,750,585,255,300,315,375,367.5,120,150,187.5,225,225,22.5,27.5,32.5,430.64,15,16.5,10.5,,,,,,,,,4.39,6.665,32,27.5
5,9,Neutral,290.625,225,390,375,120,495,450,817.5,787.5,540,630,600,960,900,877.5,387,375,453,450,322.5,165,150,270,262.5,180,27,33,39,759.43,16.5,25.5,15,,,,,,,,,0.925,4.065,12.5,8
10,13,Neutral,350,262.5,450,450,157.5,675,675,937.5,937.5,682.5,750,750,1200,1200,1035,435,435,465,465,330,225,225,300,300,165,36,44,52,941.4,19.5,31.5,18,,,,,,,,,0.505,1.115,8,3.5
14,17,Neutral,500,375,525,525,180,787.5,787.5,1012.5,1012.5,765,900,900,1350,1350,1072.5,435,435,465,465,307.5,262.5,262.5,337.5,337.5,135,45,55,65,1277.58,25.5,40.5,21,,,,,,,,,0.565,1.215,11.5,6
18,21,Neutral,537.5,375,525,525,180,843.75,787.5,1012.5,1012.5,765,1012,900,1350,1350,1072.5,435,435,465,465,307.5,262.5,262.5,337.5,337.5,135,54,66,78,1699.97,25.5,40.5,21,,,,,,,,,1.45,3.13,57,41.5
22,24,Neutral,618.75,412.5,525,525,232.5,862.5,862.5,1012.5,1012.5,922.5,1050,1050,1350,1350,1050,435,435,465,465,255,262.5,262.5,337.5,337.5,135,54,66,78,2059.32,27,37.5,21,,,,,,,,,1.995,3.455,95,81
25,29,Neutral,515.625,412.5,525,525,232.5,862.5,862.5,1012.5,1012.5,922.5,1050,1050,1350,1350,1050,435,435,465,465,255,262.5,262.5,337.5,337.5,135,54,66,78,2256.61,27,37.5,21,,,,,,,,,2.845,4.68,354,311
30,34,Neutral,515.625,412.5,525,525,232.5,832.5,862.5,982.5,1012.5,922.5,990,1050,1290,1350,1050,435,435,465,465,255,262.5,262.5,337.5,337.5,135,54,66,78,2224.94,27,37.5,21,,,,,,,,,3.59,5.705,703,620
35,39,Neutral,515.625,412.5,525,525,262.5,825,825,975,975,990,975,975,1275,1275,997.5,435,435,465,465,240,262.5,262.5,337.5,337.5,135,54,66,78,2373.05,27,36,22.5,,,,,,,,,4.14,6.46,1120.5,1001.5
40,44,Neutral,515.625,412.5,525,525,262.5,825,825,975,975,990,975,975,1275,1275,997.5,435,435,465,465,240,262.5,262.5,337.5,337.5,135,54,66,78,2181.72,27,36,22.5,,,,,,,,,4.515,6.815,1824.5,1611
45,49,Neutral,515.625,412.5,525,525,262.5,825,825,975,975,990,975,975,1275,1275,997.5,435,435,465,465,240,262.5,262.5,337.5,337.5,135,49.5,60.5,71.5,2240.91,27,36,22.5,,,,,,,,,5.98,8.735,3301.5,2893
50,54,Neutral,440.625,412.5,495,525,262.5,795,825,975,975,990,855,975,1275,1275,997.5,435,435,465,465,240,262.5,262.5,337.5,337.5,135,49.5,60.5,71.5,2272.33,27,36,22.5,,,,,,,,,7.54,10.6,5466,4798.5
55,59,Neutral,421.875,337.5,487.5,487.5,277.5,787.5,787.5,975,975,930,825,825,1275,1275,900,435,435,465,465,232.5,262.5,262.5,337.5,337.5,180,49.5,60.5,71.5,2333.27,24,33,22.5,,,,,,,,,9.675,12.955,8585.5,7515
60,64,Neutral,421.875,337.5,487.5,487.5,277.5,787.5,787.5,975,975,930,825,825,1275,1275,900,435,435,465,465,232.5,262.5,262.5,337.5,337.5,180,49.5,60.5,71.5,2023.13,24,33,22.5,,,,,,,,,12.035,15.55,11710.5,10175
65,69,Neutral,421.875,337.5,487.5,487.5,277.5,787.5,787.5,975,975,930,825,825,1275,1275,900,435,435,465,465,232.5,262.5,262.5,337.5,337.5,180,45,55,65,1881,24,33,22.5,,,,,,,,,15.475,19.285,15064,13041
